github.com/AlDanial/cloc v 1.68  T=0.50 s (442.0 files/s, 43394.0 lines/s)
-----------------------------------------------------------------------------------------------------------------
File                                                                          blank        comment           code
-----------------------------------------------------------------------------------------------------------------
Source\Engine\Core\XML.cpp                                                      112              2            863
Source\Engine\Scene\Entity.cpp                                                   64              9            619
Source\Engine\Math\Quaternion.hpp                                                83             31            515
Source\Engine\Math\Matrix4.hpp                                                   72             17            409
Source\Engine\Implementation\OGL\OGLGraphics.cpp                                 53              1            379
Source\Engine\Implementation\OGL\OGLShader.cpp                                   41              1            369
Source\Engine\UI\ImGUI.cpp                                                       56              1            365
Source\Engine\Implementation\SFMLAudio\SFMLSound.cpp                             55              1            334
Source\Engine\Engine\UserUpdater.cpp                                             26              1            331
Source\Engine\Math\Vector3.hpp                                                   57              5            327
Source\Engine\Graphics\Material.cpp                                              46              5            326
Source\HelloWorld2D\PlayGround.cpp                                               56             12            318
Source\Engine\Scene\Entity.hpp                                                   35             57            282
Source\Engine\Math\Vector2.hpp                                                   52              5            273
Source\Engine\Graphics\Drawer2D.cpp                                              51              1            267
Source\Engine\Math\Vector4.hpp                                                   42              3            244
Source\Engine\Math\Functions.hpp                                                 45             13            243
Source\Engine\Implementation\SDLEventQueue.cpp                                    9              0            241
Source\Engine\Engine\Engine.cpp                                                  26              3            218
Source\Engine\Implementation\OGL\OGLVertexBuffer.cpp                             38              0            216
Source\Engine\Implementation\Box2D\Box2DPhysicsWorld2D.cpp                       37             12            210
Source\Engine\Graphics\Renderer3D.cpp                                            10             26            208
Source\Engine\Scene\Components\AudioSource.cpp                                   29              0            204
Source\Engine\Engine\App.cpp                                                     38              0            204
Source\Engine\Scene\Transform.cpp                                                30             11            201
Source\Engine\Core\Utils.cpp                                                     30              0            199
Source\HelloWorld2D\PhysicsPlay.cpp                                              30             10            195
Source\Engine\Graphics\PostEffect.cpp                                            29              3            195
Source\Engine\Implementation\OGL\OGLTexture2D.cpp                                27              1            185
Source\Engine\Math\Matrix3.hpp                                                   29              7            179
Source\Engine\Graphics\Model.cpp                                                 28              4            172
Source\Engine\Core\XML.hpp                                                       34             63            170
Source\Engine\Implementation\SDLSurface.cpp                                      19              0            165
Source\Engine\Scene\Components\RigidBody2D.cpp                                   40              6            154
Source\Engine\Implementation\Box2D\Box2DRigidBody2D.cpp                          30              0            154
Source\Engine\Implementation\SDLFont.cpp                                         16              0            151
Source\Engine\Engine\Config.cpp                                                  21              0            145
Source\Engine\Resources\Resources.cpp                                            17              0            142
Source\Engine\Graphics\Renderable2D.hpp                                          18              1            134
Source\Engine\Implementation\SDLSystem.cpp                                       15              4            127
Source\Engine\Engine\EngineUpdater.cpp                                           17              0            126
Source\Labirynth\Level2.cpp                                                      24             24            123
Source\Engine\Implementation\SDLInput.cpp                                        13              0            122
Source\Engine\Input\EventTypes.hpp                                                7              2            117
Source\Engine\Graphics\Font.cpp                                                  20              2            115
Source\Engine\Engine\PerformanceCounter.cpp                                      16              3            112
Source\Engine\Core\Log.cpp                                                       22              3            106
Source\Engine\Scene\Scene.cpp                                                    13              1            102
Source\Engine\Implementation\Box2D\Box2DCollisionShape2D.cpp                     17              0            102
Source\Engine\Input\Event.hpp                                                    18              1            101
Source\Engine\Implementation\SDLContext.cpp                                      14              0            100
Source\Engine\Graphics\Model.hpp                                                 25              1            100
Source\Engine\Scene\EventManager.hpp                                             14              0             98
Source\Engine\Math\Rect3.hpp                                                     22              0             96
Source\Engine\Graphics\Shader.hpp                                                16              4             95
Source\Engine\Full.hpp                                                           13              0             94
Source\Engine\Scene\Components\BoxCollider2D.cpp                                 19              3             93
Source\Engine\Engine\Engine.hpp                                                   9              2             92
Source\Engine\Math\Rect2.hpp                                                     20              0             90
Source\Engine\Graphics\Graphics.hpp                                              26              7             89
Source\Engine\Scene\World.cpp                                                    16              1             88
Source\Engine\Math\Color.hpp                                                     14              0             87
Source\Engine\Core\BinaryFile.hpp                                                17              0             86
Source\HelloWorld2D\MainMenu.cpp                                                 15              0             84
Source\Engine\Implementation\SDLWindow.cpp                                       14              0             83
Source\Engine\Graphics\PostEffect.hpp                                            15              9             82
Source\Engine\Core\Log.hpp                                                       17              3             82
Source\Engine\Graphics\Material.hpp                                              15              7             82
Source\Engine\Scene\Components\PhysicsWorld2D.cpp                                18              3             79
Source\Engine\Scene\Components\StaticSprite2D.cpp                                 9              1             78
Source\Engine\Resources\ResourceManager.hpp                                      11              3             77
Source\Engine\Graphics\Renderer2D.cpp                                            15              0             76
Source\Engine\Graphics\Texture2D.hpp                                             20              3             74
Source\Engine\Resources\Resources.hpp                                            15             13             74
Source\Engine\Scene\Transform.hpp                                                26              8             73
Source\Engine\Engine\App.hpp                                                      4              0             73
Source\Engine\Script\ScriptModule.cpp                                             9              0             69
Source\Engine\Graphics\Font.hpp                                                  16              3             66
Source\Engine\UI\ImGUI.hpp                                                       13             25             65
Source\Engine\Audio\AudioHandler.cpp                                              8              0             65
Source\Engine\Implementation\SFMLAudio\SFMLAudio.cpp                             14              1             64
Source\Engine\Implementation\SFMLAudio\SFMLSound.hpp                             21              1             64
Source\Engine\Implementation\OGL\OGLFrameBuffer.cpp                              13              0             63
Source\Engine\Engine\PerformanceCounter.hpp                                      11              1             63
Source\Engine\Scene\Component.hpp                                                15              3             63
Source\Engine\Scene\Components\Camera.cpp                                        11             17             61
Source\Engine\Implementation\OGL\OGLGraphics.hpp                                 20              0             61
Source\Engine\Scene\Components\AudioListener.cpp                                 12              0             60
Source\Engine\Graphics\VertexBuffer.hpp                                          13              2             59
Source\Engine\Scene\Scene.hpp                                                     7              7             53
Source\Engine\Graphics\Light.cpp                                                  7              1             53
Source\Engine\Resources\ResourceManager.cpp                                      10              0             53
Source\Engine\Physics\RigidBody2D.hpp                                            16              1             51
Source\Engine\Implementation\Box2D\Box2DPhysicsWorld2D.hpp                       17              8             51
Source\Engine\System\MemoryManager.cpp                                            6              2             50
Source\Engine\Graphics\Shader.cpp                                                 8              2             50
